Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT
261,Mercer,SC,14-19,-8,99.4,107.4,71.2
262,Georgia St.,SB,14-19,-8.05,106.7,114.8,69.1
263,Sacred Heart,MAAC,15-18,-8.1,104.9,113,70.3
264,Gardner Webb,BSth,11-20,-8.22,103.1,111.3,69.1
265,North Dakota,Sum,12-21,-8.29,107.8,116.1,69.1
266,Tulsa,Amer,13-20,-8.39,101.8,110.2,66.3
267,North Florida,ASun,15-17,-8.47,109.5,118,72.3
268,Monmouth,CAA,13-20,-8.62,104.1,112.7,67.2
269,Alabama St. 16,SWAC,20-16,-8.88,101.6,110.5,68
270,Portland,WCC,12-20,-8.95,106,114.9,68.4
271,Stephen F. Austin,Slnd,14-17,-8.98,95.6,104.5,67.5
272,Houston Christian,Slnd,12-20,-9.04,100.9,110,64.9
273,Marist,MAAC,20-10,-9.11,97.3,106.4,64.2
274,Ball St.,MAC,14-17,-9.16,103.7,112.9,66.5
275,Albany,AE,17-16,-9.18,103.4,112.5,67.6
276,Navy,PL,15-19,-9.27,102.4,111.7,67.1
277,Eastern Michigan,MAC,16-16,-9.35,104.7,114,67.3
278,Texas Southern,SWAC,15-17,-9.53,96.8,106.4,70
279,Columbia,Ivy,12-15,-9.61,106.5,116.1,70.8
280,Austin Peay,ASun,14-19,-9.68,101.8,111.5,66.2
281,Idaho,BSky,14-19,-9.77,107.3,117.1,66.4
282,Old Dominion,SB,15-20,-10.18,100.4,110.6,66.1
283,Lehigh,PL,11-19,-10.2,100.8,111,67.4
284,Pacific,WCC,9-24,-10.35,101.5,111.9,66.5
285,LIU,NEC,17-16,-10.41,95.1,105.5,64.9
286,Bethune Cookman,SWAC,17-16,-10.47,97.6,108.1,69.1
287,Tarleton St.,WAC,12-20,-10.59,93.1,103.7,65.6
288,VMI,SC,15-19,-10.6,100.3,110.9,68.3
289,Bowling Green,MAC,14-18,-10.66,99.2,109.9,68.8
290,Western Michigan,MAC,12-20,-10.68,101.8,112.5,67.9
291,Lafayette,PL,13-20,-10.76,98.2,109,66.2
292,Tennessee Martin,OVC,14-19,-10.91,102,112.9,66.4
293,Southern Miss,SB,11-22,-10.98,98,109,70.9
294,Penn,Ivy,8-19,-11.1,104.1,115.2,67
295,Eastern Washington,BSky,10-22,-11.3,101.8,113.1,67
296,Southern Utah,WAC,12-19,-11.36,98.2,109.6,69
297,Saint Peter's,MAAC,12-16,-11.43,95,106.5,64
298,San Diego,WCC,6-27,-11.44,99.5,110.9,71.2
299,UMBC,AE,13-19,-11.55,106.6,118.2,70.5
300,Weber St.,BSky,12-22,-11.72,101.2,112.9,65.7
301,Utah Tech,WAC,7-26,-12.05,101.8,113.9,67.5
302,Charleston Southern,BSth,10-22,-12.15,99.8,111.9,67.4
303,Tennessee Tech,OVC,15-17,-12.3,101,113.3,67.9
304,Boston University,PL,16-16,-12.34,99.2,111.5,63.2
305,Loyola MD,PL,12-19,-12.39,100.6,113,66.7
306,Fairleigh Dickinson,NEC,13-20,-12.52,98.5,111,69.3
307,Delaware St.,MEAC,16-14,-12.54,101.9,114.4,70.4
308,Long Beach St.,BW,7-25,-12.55,101.8,114.3,64.2
309,Air Force,MWC,4-28,-12.69,99.1,111.7,64.5
310,Saint Francis 16,NEC,16-18,-12.75,99.8,112.6,67
311,Denver,Sum,11-21,-12.78,98.8,111.5,66.6
312,IU Indy,Horz,10-22,-12.98,109.8,122.8,64.9
313,Louisiana,SB,12-21,-13.17,98.2,111.3,66.3
314,Howard,MEAC,12-20,-13.27,103.8,117.1,70.1
315,Rider,MAAC,14-19,-13.31,101.9,115.2,64.9
316,Eastern Illinois,OVC,12-19,-13.31,93.7,107.1,66.3
317,Florida A&M,SWAC,14-17,-13.63,101.8,115.4,67.3
318,Army,PL,17-16,-13.65,100.3,114,67.9
319,Grambling St.,SWAC,12-22,-13.75,95.5,109.2,64
